title,writers,text
All The Madmen,David Bowie,"Day after day[SEP*] They send my friends away[SEP*] To mansions cold and grey[SEP*] To the far side of town[SEP*] Where the thin men stalk the streets[SEP*] While the sane stay underground[SEP*] Day after day[SEP*] They tell me I can go[SEP*] They tell me I can blow[SEP*] To the far side of town[SEP*] Where it's pointless to be high[SEP*] 'Cause it's such a long way down[SEP*] So I tell them that I can fly, I will scream, I will break my arm[SEP*] I will do me harm[SEP*] Here I stand, foot in hand, talking to my wall[SEP*] I'm not quite right at all, am I?[SEP*] Don't set me free, I'm as heavy as can be[SEP*] Just my librium and me, and my E.S.T. makes three[SEP*] 'Cause I'd rather stay here with all the madmen[SEP*] Than perish with the sadmen roaming free[SEP*] And I'd rather play here with all the madmen[SEP*] For I'm quite content they're all as sane as me[SEP*] (Where can the horizon lie)[SEP*] (When a nation hides its organic minds in a cellar)[SEP*] (Dark and grim, they must be very dim)[SEP*] Day after day[SEP*] They take some brain away[SEP*] Then turn my face around[SEP*] To the far side of town[SEP*] And tell me that it's real[SEP*] Then ask me how I feel[SEP*] Here I stand, foot in hand, talking to my wall[SEP*] I'm not quite right at all[SEP*] Don't set me free, I'm as helpless as can be[SEP*] My librium and me, and my E.S.T. makes three[SEP*] 'Cause I'd rather stay here with all the madmen[SEP*] Than perish with the sadmen roaming free[SEP*] And I'd rather play here with all the madmen[SEP*] For I'm quite content they're all as sane as me[SEP*] Zane, Zane, Zane[SEP*] Ouvre le chien[SEP*] Zane, Zane, Zane[SEP*] Ouvre le chien[SEP*] Zane, Zane, Zane[SEP*] Ouvre le chien[SEP*] Zane, Zane, Zane[SEP*] Ouvre le chien"
Heathen,David Bowie,Steel on the skyline[SEP*] Sky made of glass[SEP*] Made for a real world[SEP*] All things must pass[SEP*] Ooo[SEP*] Waiting for something[SEP*] Looking for someone[SEP*] Is there no reason?[SEP*] Have I stayed too long?[SEP*] Ooo[SEP*] You say you want to[SEP*] You can't believe in[SEP*] You can't believe in freedom[SEP*] Ooo[SEP*] When you don't want to[SEP*] You can't believe in[SEP*] You can't believe in freedom[SEP*] Ooo[SEP*] Ooo[SEP*] Ooo[SEP*] God is an American[SEP*] God is an American[SEP*] Ooo[SEP*] God is an American[SEP*] God is an American[SEP*] Ooo[SEP*] Ooo[SEP*] Ooo
The Bewlay Brothers,David Bowie,"And so the story goes they wore the clothes[SEP*] They said the things to make it seem improbable[SEP*] The whale of a lie like they hope it was[SEP*] And the Goodmen of Tomorrow had their feet in the wallow[SEP*] And their heads of Brawn were nicer shorn[SEP*] And how they bought their positions with saccharin and trust[SEP*] The world was asleep to our latent fuss[SEP*] Sighings swirl through the streets like the crust of the sun[SEP*] The Bewlay Brothers[SEP*] In our Wings that Bark[SEP*] Flashing teeth of Brass[SEP*] Standing tall in the dark[SEP*] Oh, And we were Gone[SEP*] Hanging out with your Dwarf Men[SEP*] We were so turned on[SEP*] By your lack of conclusions[SEP*] I was Stone and he was Wax[SEP*] So he could scream and still relax[SEP*] Unbelievable[SEP*] And we frightened the small children away[SEP*] And our talk was old and dust would flow[SEP*] Through our veins and Lo! it was midnight[SEP*] Back o' the kitchen door[SEP*] Like the grim face on the Cathedral floor[SEP*] And the Solid Book we wrote[SEP*] Cannot be found today[SEP*] And it was stalking time for the Moonboys[SEP*] The Bewlay Brothers[SEP*] With our backs on the arch[SEP*] And if the Devil may be here[SEP*] But he can't sing about that[SEP*] Oh, And we were Gone[SEP*] Real Cool Traders[SEP*] We were so turned on[SEP*] You thought we were Fakers[SEP*] Now the Dress is hung, the ticket pawned[SEP*] The Factor Max that proved the fact[SEP*] Is melted down[SEP*] And woven on the edging of my pillow[SEP*] Now my Brother lays upon the Rocks[SEP*] He could be dead, He could be not[SEP*] He could be You[SEP*] He's Chameleon, Comedian, Corinthian and Caricature[SEP*] Shooting-up Pie-in-the-Sky[SEP*] The Bewlay Brothers[SEP*] In the feeble and the Bad[SEP*] The Bewlay Brothers[SEP*] In the Blessed and Cold[SEP*] In the Crutch-hungry dark[SEP*] Was where we flayed our Mark[SEP*] Oh, And we were Gone[SEP*] Kings of Oblivion[SEP*] We were so turned on[SEP*] In the Mind-Warp Pavilion[SEP*] Lay me place and bake me Pie[SEP*] I'm starving for me Gravy[SEP*] Leave my shoes, and door unlocked[SEP*] I might just slip away[SEP*] Just for the Day[SEP*] Hey, Please come Away[SEP*] Hey, Please come Away[SEP*] Please come Away[SEP*] Hey, Please come Away[SEP*] Please come Away[SEP*] Hey, Please come Away[SEP*] Please come Away[SEP*]"
Beauty and the Beast,David Bowie,"Weaving down a byroad, singing the song[SEP*] That's my kind of highroad, gone wrong[SEP*] My-my[SEP*] Smile at least[SEP*] You can't say no to the beauty and the beast[SEP*] Something in the night[SEP*] Something in the day[SEP*] Nothing is wrong, but darling, something's in the way[SEP*] There's slaughter in the air[SEP*] Protest on the wind[SEP*] Someone else inside me[SEP*] Someone could get skinned, how?[SEP*] My-my[SEP*] Someone fetch a priest[SEP*] You can't say no to the beauty and the beast[SEP*] Darling[SEP*] My-my[SEP*] You can't say no to the beauty and the beast[SEP*] Liebling[SEP*] My-my[SEP*] You can't say no to the beauty and the beast[SEP*] I wanted to believe me[SEP*] I wanted to be good[SEP*] I wanted no distractions[SEP*] Like every good boy should[SEP*] My-my[SEP*] Nothing will corrupt us[SEP*] Nothing will compete[SEP*] Thank God heaven left us[SEP*] Standing on our feet[SEP*] My-my[SEP*] Beauty and the beast[SEP*] My-my[SEP*] Just beauty and the beast[SEP*]"
Bombers,David Bowie,"All clear, wail the sirens[SEP*] Sunshine on the wasteland[SEP*] Old man sitting in the white sand[SEP*] Think we're in for a big surprise, right between the eyes[SEP*] Seemed a good idea to drop a bomb on the wasteland here[SEP*] Only one man could be seen and he was old and so serene[SEP*] Captain sat in his deck chair and the red light flashed ""Beware""[SEP*] Pilot felt quite big-time as the bomb sailed through the air[SEP*] Well, they danced and sang when the bang went bang[SEP*] When the lights popped out and the smoke began to clear[SEP*] It was positively queer[SEP*] All clear, wail the sirens[SEP*] Sunshine on the wasteland[SEP*] Old man sitting in the white sand[SEP*] Think we're in for a big surprise, right between the eyes[SEP*] Seemed a good idea to drop a bomb on the wasteland here[SEP*] Only one man could be seen and he was old and so serene[SEP*] Well, they danced and sang when the bang went bang[SEP*] When the lights popped out and the smoke began to clear[SEP*] It was positively queer[SEP*] All clear, wail the sirens[SEP*] Sunshine on the wasteland[SEP*] Old man sitting in the white sand[SEP*] Think we're in for a big surprise, right between the eyes[SEP*] Seemed a good idea to drop a bomb on the wasteland here[SEP*] Only one man could be seen and he was old and so serene[SEP*] Captain sat in his deck chair and the red light flashed ""Beware""[SEP*] Pilot felt quite big-time as the bomb sailed through the air[SEP*] Well, they danced and sang when the bang went bang[SEP*] When the lights popped out and the smoke began to clear[SEP*] It was positively queer"
Black Country Rock,David Bowie,Pack a pack horse up and rest up here on Black Country Rock[SEP*] You never know you might find it here on Black Country Rock[SEP*] Some say the view is crazy[SEP*] But you may adopt another point of view[SEP*] So if it's much too hazy[SEP*] You can leave my friend and me with fond adieu[SEP*] Pack a pack horse up and rest up here on Black Country Rock[SEP*] You never know you might find it here on Black Country Rock[SEP*] Some say the view is crazy[SEP*] But you may adopt another point of view[SEP*] So if it's much too hazy[SEP*] You can leave my friend and me with fond adieu
As the World Falls Down,David Bowie,"There’s such a sad love[SEP*] Deep in your eyes, a kind of pale jewel[SEP*] Open and closed within your eyes[SEP*] I’ll place the sky within your eyes[SEP*] There’s such a fooled heart[SEP*] Beating so fast in search of new dreams[SEP*] A love that will last within your heart[SEP*] I’ll place the moon within your heart[SEP*] As the pain sweeps through[SEP*] Makes no sense for you[SEP*] Every thrill has gone[SEP*] Wasn’t too much fun at all[SEP*] But I’ll be there for you[SEP*] As the world falls down[SEP*] Falling[SEP*] Falling down[SEP*] Falling in love[SEP*] I’ll paint you mornings of gold[SEP*] I’ll spin you Valentine evenings[SEP*] Though we’re strangers till now[SEP*] We’re choosing the path between the stars[SEP*] I’ll leave my love between the stars[SEP*] As the pain sweeps through[SEP*] Makes no sense for you[SEP*] Every thrill has gone[SEP*] Wasn’t too much fun at all[SEP*] But I’ll be there for you[SEP*] As the world falls down[SEP*] Falling[SEP*] As the world falls down[SEP*] Falling[SEP*] Falling[SEP*] As the world falls down[SEP*] Falling[SEP*] Falling[SEP*] Falling[SEP*] Falling in love[SEP*] As the world falls down[SEP*] Falling[SEP*] Falling[SEP*] Falling[SEP*] Falling in love[SEP*] As the world falls down[SEP*] Makes no sense at all[SEP*] Makes no sense at all[SEP*] Falling as the world falls down[SEP*] Falling[SEP*] Falling in love[SEP*] Falling in love[SEP*] Falling in love[SEP*] Falling in love[SEP*] Falling in love[SEP*] Falling in love[SEP*] Falling in love[SEP*]"
Baby Loves That Way,David Bowie,"Baby likes to go outside, so I let her[SEP*]Wants to fool with other guys, so I let her[SEP*]Wants to be bad, I let her be bad[SEP*]Her fooling around always make me sad[SEP*]She fools around with other boys[SEP*]Treats me like an unwanted toy[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby likes to go outside, so I let her[SEP*]Wants to fool with other guys, so I let her[SEP*]Wants to be bad, so I let her be bad[SEP*]Her fooling around always make me sad[SEP*]She fools around with other boys[SEP*]Treats me like an unwanted toy[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]Baby loves that way[SEP*]You alright?[SEP*]Alright, here we going"
Andy Warhol,David Bowie,"Like to take a cement fix[SEP*] Be a standing cinema[SEP*] Dress my friends up just for show[SEP*] See them as they really are[SEP*] Put a peephole in my brain[SEP*] Two New Pence to have a go[SEP*] I'd like to be a gallery[SEP*] Put you all inside my show[SEP*] Andy Warhol looks a scream[SEP*] Hang him on my wall[SEP*] Andy Warhol, silver screen[SEP*] Can't tell them apart at all[SEP*] Andy walking, Andy tired[SEP*] Andy take a little snooze[SEP*] Tie him up when he's fast asleep[SEP*] Send him on a pleasant cruise[SEP*] When he wakes up on the sea[SEP*] Be sure to think of me and you[SEP*] He'll think about paint and he'll think about glue[SEP*] What a jolly boring thing to do[SEP*] Andy Warhol looks a scream[SEP*] Hang him on my wall[SEP*] Andy Warhol, silver screen[SEP*] Can't tell them apart at all[SEP*] Andy Warhol looks a scream[SEP*] Hang him on my wall[SEP*] Andy Warhol, silver screen[SEP*] Can't tell them apart at all"
Day-In Day-Out,David Bowie,"Day-in, day-out[SEP*] Stay-in, fade-out[SEP*] Day-in, ooh-ooh[SEP*] Day-out, ooh-ooh-ooh[SEP*] She was born in a handbag[SEP*] Love left on a doorstep[SEP*] What she lacks is a backup[SEP*] Nothing seems to make a dent[SEP*] Gonna find her some money, honey[SEP*] Try to pay her rent[SEP*] That's the kind of protection everyone is shouting about[SEP*] Day-in, day-out[SEP*] Stay-in, fade-out[SEP*] Day-in, ooh-ooh[SEP*] Day-out, ooh-ooh-ooh[SEP*] First thing she learns is she's a citizen[SEP*] Some things they turn out right[SEP*] When you're under the USA[SEP*] Something rings a bell[SEP*] And it's all over[SEP*] She's going out her way[SEP*] Stealing for that one good rush[SEP*] Day-in, day-out[SEP*] Stay-in, fade-out[SEP*] Day-in, ooh-ooh[SEP*] Day-out, ooh-ooh-ooh[SEP*] She's got no money, honey[SEP*] She's on the run[SEP*] Pulls the eyes out of the face[SEP*] Day-in, day-out[SEP*] Stay-in, fade-out[SEP*] Day-in, ooh-ooh[SEP*] Day-out, ooh-ooh-ooh[SEP*] Day-in, day-out[SEP*] Stay-in, fade-out[SEP*] Day-in, ooh-ooh[SEP*] Day-out, ooh-ooh-ooh[SEP*] Day-in, day-out[SEP*] Day-in, day-out[SEP*] Day-in, day-out"
Karma Man,David Bowie,"Fingertip sun at sideshow stalls[SEP*]They throw the balls[SEP*]At coconut fur that hides behind[SEP*]Colored shades that blind your eyes[SEP*]Every child's mother holds an ice-cream cone[SEP*]They circle round[SEP*]Perceived unknown by an eye that peers[SEP*]From a hole in the tent where no one goes[SEP*]A figure sitting cross-legged on the floor[SEP*]He's clogged and clothed in saffron robes[SEP*]His beads are all he owns[SEP*]Slow down[SEP*]Slow down[SEP*]Someone must have said, ""Let's slow him down""[SEP*]Slow down[SEP*]Slow down[SEP*]It's pictured on the arms of the karma man[SEP*]Fairy tale skin[SEP*]Depicting scenes from human zoos[SEP*]Impermanent toys like peace and war[SEP*]A gentle face you've seen before[SEP*]Karma man tattooed on your side[SEP*]The wheel of life[SEP*]I see my times and who I've been[SEP*]I only live now and I don't know why[SEP*]I struggle hard to take these pictures in[SEP*]But All my friends can see it's just the pinkness of his skin[SEP*]Slow down[SEP*]Slow down[SEP*]Someone must have said, ""Let's slow him down""[SEP*]Slow down[SEP*]Slow down[SEP*]It's pictured on the arms of the karma man[SEP*]Slow down[SEP*]Slow down[SEP*]Someone must have said, ""Let's slow him down""[SEP*]Slow down[SEP*]Slow down[SEP*]It's pictured on the arms of the karma man"
Blue Jean,David Bowie,"Blue Jean, I just met a girl named Blue Jean[SEP*] Blue Jean, she got a camouflaged face and no money[SEP*] Remember, they always let you down when you need 'em[SEP*] Oh, Blue Jean, is heaven any sweeter than Blue Jean?[SEP*] She got a police bike[SEP*] She got a turned-up nose[SEP*] Sometimes I feel like[SEP*] (Oh, the whole human race)[SEP*] Jazzin' for Blue Jean[SEP*] (Oh, and when my Blue Jean's blue)[SEP*] Blue Jean, can send me[SEP*] Somebody send me[SEP*] Somebody send me[SEP*] (One day)[SEP*] Somebody send me[SEP*] (One day)[SEP*] Somebody send me[SEP*] (One day)[SEP*] Somebody send me[SEP*] (One day)[SEP*] I will write on it[SEP*] Don't let me know when you're opening the door[SEP*] Close me in the dark, let me disappear[SEP*] Soon there'll be nothing left of me, nothing left to release[SEP*] Blue Jean, she got a camouflaged face and no money[SEP*] Remember, they always let you down when you need 'em[SEP*] Oh, Blue Jean, is heaven any sweeter than Blue Jean?[SEP*] She got a police bike[SEP*] She got a turned-up nose[SEP*] Sometimes I feel like[SEP*] (Oh, the whole human race)[SEP*] Jazzin' for Blue Jean[SEP*] (Oh, and when my Blue Jean's blue)[SEP*] Blue Jean, can send me[SEP*] Somebody send me[SEP*] Somebody send me[SEP*] (One day)[SEP*] Somebody send me[SEP*] (One day)[SEP*] Somebody send me[SEP*] (One day)[SEP*] Somebody send me[SEP*] (One day)"
Be True,Bruce Springsteen,"Your scrapbook's filled with pictures of all your leading men[SEP*] Well baby, don't put my picture in there with them[SEP*] Don't make us some little girl's dream that can never come true[SEP*] That only serves to hurt and make you blue[SEP*] You be true to me[SEP*] And I'll be true to you[SEP*] You be true to me[SEP*] And I'll be true to you[SEP*] Everything you do[SEP*] Oh say, you do[SEP*] Sure enough baby, I'll do it too[SEP*] I met you at a party and you were talking with friends[SEP*] I asked you what your name was[SEP*] You asked me the same[SEP*] You tried to kiss me but it only made me sad[SEP*] 'Cause I was thinking of you[SEP*] And of all the times we had[SEP*] You be true to me[SEP*] And I'll be true to you[SEP*] You be true to me[SEP*] And I'll be true to you[SEP*] Everything you do[SEP*] Oh say, you do[SEP*] Sure enough baby, I'll do it too[SEP*] They say that you know a true love when it is put to the test[SEP*] It's gonna take you, it's gonna make you second guess yourself[SEP*] Don't run and hide and call it love in the end[SEP*] All the things we could have done[SEP*] Instead of wonderin' what might have been[SEP*] You be true to me[SEP*] And I'll be true to you[SEP*] You be true to me[SEP*] And I'll be true to you[SEP*] Everything you do[SEP*] Oh say, you do[SEP*] Sure enough baby, I'll do it too[SEP*] Sure enough baby, I'll do it too[SEP*] Sure enough baby, I'll do it too"
Cover Me,Bruce Springsteen,"The times are tough now[SEP*] Just getting tougher[SEP*] This old world is rough[SEP*] It's just getting rougher[SEP*] Cover me[SEP*] Come on, baby, cover me[SEP*] Well, I'm looking for a lover who will come on in and cover me[SEP*] Promise me, baby[SEP*] You won't let them find us[SEP*] Hold me in your arms[SEP*] Let's let our love blind us[SEP*] Cover me[SEP*] Shut the door and cover me[SEP*] Well, I'm looking for a lover who will come on in and cover me[SEP*] Outside's the rain[SEP*] The driving snow[SEP*] I can hear the wild wind blowing[SEP*] Turn out the light[SEP*] Bolt the door[SEP*] I ain't going out there no more[SEP*] This whole world is out there just trying to score[SEP*] I've seen enough, I don't want to see any more[SEP*] Cover me[SEP*] Come on and cover me[SEP*] Well, I'm looking for a lover who will come on in and cover me[SEP*] Outside's the rain[SEP*] The driving snow[SEP*] I can hear the wild wind blowing[SEP*] Turn out the light[SEP*] Bolt the door[SEP*] I ain't going out there no more[SEP*] Cover me[SEP*] Come on and cover me[SEP*] Well, I'm looking for a lover who will come on in and cover me"
Born to Run,Bruce Springsteen,"In the day we sweat it out on the streets of a runaway American dream[SEP*] At night we ride through mansions of glory in suicide machines[SEP*] Sprung from cages on Highway 9[SEP*] Chrome-wheeled, fuel-injected, and steppin' out over the line[SEP*] Oh, baby, this town rips the bones from your back[SEP*] It's a death trap, it's a suicide rap[SEP*] We gotta get out while we're young[SEP*] 'Cause tramps like us, baby, we were born to run[SEP*] Yes, girl, we were[SEP*] Wendy, let me in, I wanna be your friend[SEP*] I want to guard your dreams and visions[SEP*] Just wrap your legs 'round these velvet rims[SEP*] And strap your hands across my engines[SEP*] Together, we could break this trap[SEP*] We'll run 'til we drop, baby, we'll never go back[SEP*] Oh, will you walk with me out on the wire?[SEP*] 'Cause, baby, I'm just a scared and lonely rider[SEP*] But I gotta know how it feels[SEP*] I want to know if love is wild, babe[SEP*] I want to know if love is real[SEP*] Oh, can you show me?[SEP*] Beyond the palace, hemi-powered drones scream down the boulevard[SEP*] The girls comb their hair in rearview mirrors[SEP*] And the boys try to look so hard[SEP*] The amusement park rises bold and stark[SEP*] Kids are huddled on the beach in a mist[SEP*] I wanna die with you, Wendy, on the streets tonight[SEP*] In an everlasting kiss[SEP*] The highway's jammed with broken heroes on a last-chance power drive[SEP*] Everybody's out on the run tonight[SEP*] But there's no place left to hide[SEP*] Together, Wendy, we can live with the sadness[SEP*] I'll love you with all the madness in my soul[SEP*] Oh, someday, girl, I don't know when[SEP*] We're gonna get to that place where we really wanna go[SEP*] And we'll walk in the sun[SEP*] But 'til then, tramps like us[SEP*] Baby, we were born to run[SEP*] Oh, honey, tramps like us[SEP*] Baby, we were born to run[SEP*] Come on, Wendy, tramps like us[SEP*] Baby, we were born to run"
Dancing in the Dark,Bruce Springsteen,"I get up in the evening[SEP*] And I ain't got nothing to say[SEP*] I come home in the morning[SEP*] I go to bed feeling the same way[SEP*] I ain't nothing but tired[SEP*] Man, I'm just tired and bored with myself[SEP*] Hey there, baby, I could use just a little help[SEP*] You can't start a fire[SEP*] You can't start a fire without a spark[SEP*] This gun's for hire[SEP*] Even if we're just dancing in the dark[SEP*] Messages keep getting clearer[SEP*] Radio's on, and I'm moving 'round the place[SEP*] I check my look in the mirror[SEP*] Wanna change my clothes, my hair, my face[SEP*] Man, I ain't getting nowhere[SEP*] I'm just living in a dump like this[SEP*] There's something happening somewhere[SEP*] Baby, I just know that there is[SEP*] You can't start a fire[SEP*] You can't start a fire without a spark[SEP*] This gun's for hire[SEP*] Even if we're just dancing in the dark[SEP*] You sit around getting older[SEP*] There's a joke here somewhere, and it's on me[SEP*] I'll shake this world off my shoulders[SEP*] Come on, baby, the laugh's on me[SEP*] Stay on the streets of this town[SEP*] And they'll be carving you up all right[SEP*] They say you gotta stay hungry[SEP*] Hey baby, I'm just about starving tonight[SEP*] I'm dying for some action[SEP*] I'm sick of sitting 'round here trying to write this book[SEP*] I need a love reaction[SEP*] Come on now, baby, gimme just one look[SEP*] You can't start a fire sitting 'round crying over a broken heart[SEP*] This gun's for hire[SEP*] Even if we're just dancing in the dark[SEP*] You can't start a fire worrying about your little world falling apart[SEP*] This gun's for hire[SEP*] Even if we're just dancing in the dark[SEP*] Even if we're just dancing in the dark[SEP*] Even if we're just dancing in the dark[SEP*] Even if we're just dancing in the dark"
Blinded by the Light,Bruce Springsteen,"Blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night[SEP*] Blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night[SEP*] Madman drummers bummers and Indians in the summer with a teenage diplomat[SEP*] In the dumps with the mumps as the adolescent pumps his way into his hat[SEP*] With a boulder on my shoulder[SEP*] Feelin' kinda older[SEP*] I tripped the merry-go-round[SEP*] With this very unpleasin' sneezin' and wheezin'[SEP*] The calliope crashed to the ground[SEP*] The calliope crashed to the ground[SEP*] But she was blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night[SEP*] Blinded by the light[SEP*] She got down but she never got tight[SEP*] She's gonna make it through the night[SEP*] Some silicone sister with a manager mister told me I got what it takes[SEP*] She said I'll turn you on sonny to something strong[SEP*] Play the song with the funky break[SEP*] And go-kart Mozart[SEP*] Was checkin' out the weather chart[SEP*] To see if it was safe outside[SEP*] And little Early-Pearly[SEP*] Came by in his curly-wurly[SEP*] And asked me if I needed a ride[SEP*] Asked me if I needed a ride[SEP*] But she was blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night[SEP*] Blinded by the light[SEP*] She got down but she never got tight[SEP*] She's gonna make it through the night[SEP*] She's gonna make it through the night[SEP*] But mama, that's where the fun is[SEP*] But mama, that's where the fun is[SEP*] Mama always told me not to look into the sights of the sun[SEP*] Oh, but mama, that's where the fun is[SEP*] Blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night[SEP*] Blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night[SEP*] Blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night[SEP*] Blinded by the light[SEP*] Revved up like a deuce[SEP*] Another runner in the night"
Bobby Jean,Bruce Springsteen,"Well, I came by your house the other day, your mother said you went away[SEP*] She said there was nothing that I could have done, there was nothing nobody could say[SEP*] Me and you, we've known each other ever since we were sixteen[SEP*] I wished I would have known, I wished I could have called you, just to say goodbye, Bobby Jean[SEP*] Now, you hung with me when all the others turned away, turned up their nose[SEP*] We liked the same music, we liked the same bands, we liked the same clothes[SEP*] Yeah, we told each other that we were the wildest, the wildest things we'd ever seen[SEP*] Now, I wished you would have told me, I wished I could have talked to you, just to say goodbye, Bobby Jean[SEP*] Now, we went walking in the rain, talking about the pain that from the world we hid[SEP*] Now, there ain't nobody, nowhere, nohow gonna ever understand me the way you did[SEP*] Maybe you'll be out there on that road somewhere, in some bus or train, traveling along[SEP*] In some motel room, there'll be a radio playing, and you'll hear me sing this song[SEP*] Well, if you do, you'll know I'm thinking of you and all the miles in between[SEP*] And I'm just calling one last time, not to change your mind, but just to say I miss you, baby[SEP*] Good luck, goodbye, Bobby Jean"
Better Days,Bruce Springsteen,Well my soul checked out missing as I sat listening to the hours and minutes tickin' away[SEP*] Yeah just sittin' around waitin' for my life to begin while it was all just slippin' away[SEP*] I'm tired of waitin' for tomorrow to come or that train to come roarin' 'round the bend[SEP*] I got a new suit of clothes a pretty red rose and a woman I can call my friend[SEP*] These are better days baby[SEP*] Yeah there's better days shining through[SEP*] These are better days baby[SEP*] Better days with a girl like you[SEP*] Well I took a piss at fortune's sweet kiss[SEP*] It's like eatin' caviar and dirt[SEP*] It's a sad funny ending to find yourself pretending[SEP*] A rich man in a poor man's shirt[SEP*] Now my ass was draggin' when from a passin' gypsy wagon your heart like a diamond shone[SEP*] Tonight I'm layin' in your arms carvin' lucky charms out of these hard luck bones[SEP*] These are better days baby[SEP*] These are better days it's true[SEP*] These are better days[SEP*] Better days are shining through[SEP*] Now a life of leisure and a pirate's treasure don't make much for tragedy[SEP*] But it's a sad man my friend who's livin' in his own skin and can't stand the company[SEP*] Every fool's got a reason to feelin' sorry for himself and turn his heart to stone[SEP*] Tonight this fool's halfway to heaven and just a mile outta hell[SEP*] And I feel like I'm comin' home[SEP*] These are better days baby[SEP*] There's better days shining through[SEP*] These are better days[SEP*] Better days with a girl like you[SEP*] These are better days baby[SEP*] These are better days it's true[SEP*] These are better days[SEP*] Better days are shining through
Backstreets,Bruce Springsteen,"One soft infested summer[SEP*] Me and Terry became friends[SEP*] Trying in vain to breathe the fire we was born in[SEP*] Catching rides to the outskirts, tying faith between our teeth[SEP*] Sleeping in that old abandoned beach house, getting wasted in the heat[SEP*] And hiding on the backstreets[SEP*] Hiding on the backstreets[SEP*] With a love so hard and filled with defeat[SEP*] Running for our lives at night on them backstreets[SEP*] Slow dancing in the dark on the beach at Stockton's Wing[SEP*] Where desperate lovers park, we sat with the last of the Duke Street Kings[SEP*] Huddled in our cars, waiting for the bells that ring[SEP*] In the deep heart of the night, we let loose of everything[SEP*] To go running on the backstreets[SEP*] Running on the backstreets[SEP*] We swore we'd live forever[SEP*] On the backstreets we take it together[SEP*] Ended up wounded, not even dead[SEP*] Tonight in jungle land[SEP*] When the breakdown hit at midnight[SEP*] There was nothing left to say but[SEP*] I hated him and I hated you when you went away[SEP*] Laying here in the dark, you're like an angel on my chest[SEP*] Just another tramp of hearts crying tears of faithlessness[SEP*] Remember all the movies, Terry, we'd go see[SEP*] Trying to learn how to walk like the heroes we thought we had to be[SEP*] And after all this time to find we're just like all the rest[SEP*] Stranded in the park and forced to confess[SEP*] To hiding on the backstreets[SEP*] Hiding on the backstreets[SEP*] We swore forever friends on the backstreets 'til the end[SEP*] Hiding on the backstreets[SEP*] Hiding on the backstreets"
Brilliant Disguise,Bruce Springsteen,"I hold you in my arms[SEP*] As the band plays[SEP*] What are those words whispered, baby, just as you turn away?[SEP*] I saw you last night[SEP*] Out on the edge of town[SEP*] I want to read your mind[SEP*] To know just what I've got in this new thing I've found[SEP*] So tell me what I see[SEP*] When I look in your eyes[SEP*] Is that you, baby[SEP*] Or just a brilliant disguise?[SEP*] I heard somebody call your name[SEP*] From underneath our willow[SEP*] I saw something tucked in shame underneath your pillow[SEP*] Well, I've tried so hard, baby[SEP*] But I just can't see[SEP*] What a woman like you is doing with me[SEP*] So tell me who I see[SEP*] When I look in your eyes[SEP*] Is that you, baby[SEP*] Or just a brilliant disguise?[SEP*] Now look at me, baby[SEP*] Struggling to do everything right[SEP*] And then it all falls apart[SEP*] When out go the lights[SEP*] I'm just a lonely pilgrim[SEP*] I walk this world in wealth[SEP*] I want to know if it's you I don't trust[SEP*] 'Cause I damn sure don't trust myself[SEP*] Now you play the loving woman[SEP*] I'll play the faithful man[SEP*] But just don't look too close into the palm of my hand[SEP*] We stood at the altar[SEP*] The gypsy swore our future was right[SEP*] But come the wee, wee hours[SEP*] Maybe, baby, the gypsy lied[SEP*] So when you look at me[SEP*] You better look hard and look twice[SEP*] Is that me, baby[SEP*] Or just a brilliant disguise?[SEP*] Tonight our bed is cold[SEP*] I'm lost in the darkness of our love[SEP*] God have mercy on the man[SEP*] Who doubts what he's sure of"
